id,source,pdf_page,table,original_detail_numbers,class_text,description,requirements,image,status
ntc-127-t01-d01-01,ntc,127,C4.2.XII.a,1,"160
140(1)","Prodotti laminati e estrusi
1) Lamiere e piatti laminati;
2) Lamiere e piatti;
3) Profili cavi senza saldatura, rettangolari e
circolari","Difetti superficiali e di laminazione e spigoli vivi
devono essere eliminati mediante molatura",assets/details/ntc-127-t01-d01-01.png,extracted_not_engineering_validated
ntc-127-t01-d01-02,ntc,127,C4.2.XII.a,2,"160
140(1)","Prodotti laminati e estrusi
1) Lamiere e piatti laminati;
2) Lamiere e piatti;
3) Profili cavi senza saldatura, rettangolari e
circolari","Difetti superficiali e di laminazione e spigoli vivi
devono essere eliminati mediante molatura",assets/details/ntc-127-t01-d01-02.png,extracted_not_engineering_validated
ntc-127-t01-d01-03,ntc,127,C4.2.XII.a,3,"160
140(1)","Prodotti laminati e estrusi
1) Lamiere e piatti laminati;
2) Lamiere e piatti;
3) Profili cavi senza saldatura, rettangolari e
circolari","Difetti superficiali e di laminazione e spigoli vivi
devono essere eliminati mediante molatura",assets/details/ntc-127-t01-d01-03.png,extracted_not_engineering_validated
ntc-127-t01-d02,ntc,127,C4.2.XII.a,4,"140
125(1)","Lamiere tagliate con gas o meccanicamente
4)
Taglio a gas automatico o taglio
meccanico e successiva eliminazione
delle tracce del taglio
5) Taglio a gas manuale o taglio a gas
automatico con tracce del taglio regolari e
superficiali e successiva eliminazione di
tutti i difetti dei bordi","4) Tutti i segni visibili di intaglio sui bordi devono
essere eliminati. Le aree di taglio devono essere
lavorate a macchina. Graffi e scalfitture di
lavorazione devono essere paralleli agli sforzi
4) e 5) Angoli rientranti devono essere raccordati
con pendenza ≤1:4, in caso contrario occorre
impiegare opportuni fattori di concentrazione degli
sforzi.
Non sono ammesse riparazioni mediante saldatura",assets/details/ntc-127-t01-d02.png,extracted_not_engineering_validated
ntc-127-t01-d03,ntc,127,C4.2.XII.a,5,"125
112(1)","Lamiere tagliate con gas o meccanicamente
4)
Taglio a gas automatico o taglio
meccanico e successiva eliminazione
delle tracce del taglio
5) Taglio a gas manuale o taglio a gas
automatico con tracce del taglio regolari e
superficiali e successiva eliminazione di
tutti i difetti dei bordi","4) Tutti i segni visibili di intaglio sui bordi devono
essere eliminati. Le aree di taglio devono essere
lavorate a macchina. Graffi e scalfitture di
lavorazione devono essere paralleli agli sforzi
4) e 5) Angoli rientranti devono essere raccordati
con pendenza ≤1:4, in caso contrario occorre
impiegare opportuni fattori di concentrazione degli
sforzi.
Non sono ammesse riparazioni mediante saldatura",assets/details/ntc-127-t01-d03.png,extracted_not_engineering_validated
ntc-127-t02-d01-01,ntc,127,C4.2.XII.b,6,100,"6) e 7) Prodotti laminati e estrusi (come quelli
di tabella C4.2.XVI.a) soggetti a tensioni
tangenziali","Δτ calcolati con
∆V·S(t)
∆τ =
I·t",assets/details/ntc-127-t02-d01-01.png,extracted_not_engineering_validated
ntc-127-t02-d01-02,ntc,127,C4.2.XII.b,7,100,"6) e 7) Prodotti laminati e estrusi (come quelli
di tabella C4.2.XVI.a) soggetti a tensioni
tangenziali","Δτ calcolati con
∆V·S(t)
∆τ =
I·t",assets/details/ntc-127-t02-d01-02.png,extracted_not_engineering_validated
ntc-127-t03-d01,ntc,127,C4.2.XVI.a,15,100,"15) Bulloni sollecitati a taglio su uno o due
piani non interessanti la parte filettata.
- Bulloni calibrati
- Bulloni normali di grado 5.6, 8.8 e 10.9 e
assenza di inversioni di carico",∆τ calcolati in riferimento all'area del gambo,assets/details/ntc-127-t03-d01.png,extracted_not_engineering_validated
ntc-127-t04-d01,ntc,127,C4.2.XII.d,8,112,"Giunti bullonati con coprigiunti doppi e
8)
bulloni AR precaricati o bulloni precaricati
iniettati",∆σ riferiti alla sezione lorda,assets/details/ntc-127-t04-d01.png,extracted_not_engineering_validated
ntc-127-t04-d02,ntc,127,C4.2.XII.d,9,90,"9)
Giunti bullonati con coprigiunti doppi e
bulloni calibrati o bulloni non precaricati
iniettati",∆σ riferiti alla sezione netta,assets/details/ntc-127-t04-d02.png,extracted_not_engineering_validated
ntc-127-t04-d03,ntc,127,C4.2.XII.d,10,90,"10) Giunti bullonati con coprigiunti singoli e
bulloni AR precaricati o bulloni precaricati
iniettati",∆σ riferiti alla sezione lorda,assets/details/ntc-127-t04-d03.png,extracted_not_engineering_validated
ntc-127-t04-d04,ntc,127,C4.2.XII.d,11,90,"11) Elementi strutturali forati soggetti a forza
normale e momento flettente",∆σ riferiti alla sezione netta,assets/details/ntc-127-t04-d04.png,extracted_not_engineering_validated
ntc-128-t01-d01,ntc,128,PDF-128-T1,12,80,"12) Giunti bullonati con coprigiunti singoli e
bulloni calibrati o bulloni non precaricati
iniettati",Δσ riferiti alla sezione netta,assets/details/ntc-128-t01-d01.png,extracted_not_engineering_validated
ntc-128-t01-d02,ntc,128,PDF-128-T1,13,50,"13) Giunti bullonati con coprigiunti singoli o
doppi con bulloni con precarico in fori di
tolieranza normale. Assenza di inversioni
del carico.",∆σ riferiti alla sezione netta,assets/details/ntc-128-t01-d02.png,extracted_not_engineering_validated
ntc-128-t01-d03,ntc,128,PDF-128-T1,14,50,"14)
Bulloni e barre filettate soggetti a
trazione. Per bulloni di diametro φ>30
mm, si deve adottare una classe ridotta
del coefficiente
ks = (30/φ)0,25","∆σ riferiti alla sezione della parte filettata,
considerando gli effetti dovuti all'effetto leva el
alla flessione ulteriore. Per bulloni precaricati
∆σ possono essere ridotti.",assets/details/ntc-128-t01-d03.png,extracted_not_engineering_validated
ntc-128-t02-d01-01,ntc,128,C4.2.XIII,5,100,"5)
Saldatura manuale a cordoni d’angolo o
a piena penetra-zione
6)
Saldatura a piena penetra-zione manuale
o automatica eseguita da un sol lato, in
particolare per travi a cassone","5) e 6) Deve essere assicurato un corretto contatto
tra anima e piattabanda. Il bordo dell'anima deve
essere preparato in modo da garantire una
penetrazione regolare alla radice, senza
interruzioni",assets/details/ntc-128-t02-d01-01.png,extracted_not_engineering_validated
ntc-128-t02-d01-02,ntc,128,C4.2.XIII,6,100,"5)
Saldatura manuale a cordoni d’angolo o
a piena penetra-zione
6)
Saldatura a piena penetra-zione manuale
o automatica eseguita da un sol lato, in
particolare per travi a cassone","5) e 6) Deve essere assicurato un corretto contatto
tra anima e piattabanda. Il bordo dell'anima deve
essere preparato in modo da garantire una
penetrazione regolare alla radice, senza
interruzioni",assets/details/ntc-128-t02-d01-02.png,extracted_not_engineering_validated
ntc-128-t02-d02,ntc,128,C4.2.XIII,7,100,"7)
Saldatura a cordoni d’angolo o a piena
penetrazione, manuale o automatica,
appartenente ai dettagli da 1) a 6)
riparata","In caso di adozione di metodi migliorativi mediantel
molatura eseguita da tecnici qualificati, integrati dal
opportuni controlli, è possibile ripristinare la classe
originaria",assets/details/ntc-128-t02-d02.png,extracted_not_engineering_validated
ntc-128-t02-d03-01,ntc,128,C4.2.XIII,1,125,"Saldature longitudinali continue
1) Saldatura automatica a piena penetrazione
effettuata da entrambi i lati
2)
Saldatura automatica a cordoni d’angolo.
Le parti terminali dei piatti di rinforzo
devono essere verificate considerando i
dettagli 5) e 6) della tabella C4.2.XVI.a)","1) e 2) Non sono consentite interruzioni/riprese, a
meno che la riparazione sia eseguita da un
tecnico qualificato e siano eseguiti controlli atti a
verificare la corretta esecuzione della riparazione",assets/details/ntc-128-t02-d03-01.png,extracted_not_engineering_validated
ntc-128-t02-d03-02,ntc,128,C4.2.XIII,2,125,"Saldature longitudinali continue
1) Saldatura automatica a piena penetrazione
effettuata da entrambi i lati
2)
Saldatura automatica a cordoni d’angolo.
Le parti terminali dei piatti di rinforzo
devono essere verificate considerando i
dettagli 5) e 6) della tabella C4.2.XVI.a)","1) e 2) Non sono consentite interruzioni/riprese, a
meno che la riparazione sia eseguita da un
tecnico qualificato e siano eseguiti controlli atti a
verificare la corretta esecuzione della riparazione",assets/details/ntc-128-t02-d03-02.png,extracted_not_engineering_validated
ntc-128-t02-d04-01,ntc,128,C4.2.XIII,3,112,"3)
Saldatura automatica a cordoni d’angolo
o a piena penetrazione effettuata da
entrambi i lati, ma contenente punti di
interruzione/ripresa.
4)
Saldatura automatica a piena
penetrazione su piatto di sostegno, non
contenente punti di interruzione/ripresa","4) Se il dettaglio contiene punti di
interruzione/ripresa, si deve far riferimento alla
classe 100",assets/details/ntc-128-t02-d04-01.png,extracted_not_engineering_validated
ntc-128-t02-d04-02,ntc,128,C4.2.XIII,4,112,"3)
Saldatura automatica a cordoni d’angolo
o a piena penetrazione effettuata da
entrambi i lati, ma contenente punti di
interruzione/ripresa.
4)
Saldatura automatica a piena
penetrazione su piatto di sostegno, non
contenente punti di interruzione/ripresa","4) Se il dettaglio contiene punti di
interruzione/ripresa, si deve far riferimento alla
classe 100",assets/details/ntc-128-t02-d04-02.png,extracted_not_engineering_validated
ntc-128-t02-d05,ntc,128,C4.2.XIII,8,80,"8)
Saldatura longitudinale a cordoni d’angolo
a tratti",∆σ riferiti alle tensioni nella piattabanda,assets/details/ntc-128-t02-d05.png,extracted_not_engineering_validated
ntc-128-t02-d06,ntc,128,C4.2.XIII,1,71,"(6
Saldatura longitudinale a piena
penetrazione, a cordoni d’angolo e a
tratti, con lunette di scarico di altezza non
maggiore di 60 mm. Per lunette di
altezza maggiore vedere dettaglio 1)
della tabella C4.2.XV)",Δσ riferiti alle tensioni nella piattabanda,assets/details/ntc-128-t02-d06.png,extracted_not_engineering_validated
ntc-129-t01-d01,ntc,129,PDF-129-T1,10,"125 (a)
112 (b)
90 (c)","10)
Saldatura
longitudinale
a
piena
penetrazione","(a) Entrambe le facce molate in direzione deglil
sforzi e controlli non distruttivi al 100%
(b) Come saldata, assenza di interruzioni/riprese
(c) Con interruzioni/riprese",assets/details/ntc-129-t01-d01.png,extracted_not_engineering_validated
ntc-129-t01-d02,ntc,129,PDF-129-T1,11,"140 (a)
125 (b)
90 (c)","11) Saldatura longitudinale automaticadi
composizione in sezioni cave circolari o
rettangolari,
in
assenza
!p
interruzioni/riprese","(a) Difetti entro i limiti della UNI EN 1090.
Spessore t≤12,5 mm e controlli non distruttivi al
100%
(b) Come saldata, assenza di interruzioni/riprese
(c) Con interruzioni/riprese",assets/details/ntc-129-t01-d02.png,extracted_not_engineering_validated
ntc-129-t02-d01-01,ntc,129,C4.2.XIV,1,112,"Saldature senza piatto di sostegno
1) Giunti trasversali in piatti e lamiere
2) Giunti di anime e piattabande in travi
composte eseguiti prima dell'assemblaggio
3) Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
4)
Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore con
pendenza non mag-giore di 1:4. Nelle
zone di transi-zione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,2","Saldature effettuate da entrambi i lati, molate in|
direzione degli sforzi e sottoposte a controlli non
distruttivi
Le saldature devono essere iniziate e terminate su
tacchi d'estremità, da rimuovere una voltal
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
3) Vale solo per profilati tagliati e risaldati",assets/details/ntc-129-t02-d01-01.png,extracted_not_engineering_validated
ntc-129-t02-d01-02,ntc,129,C4.2.XIV,2,112,"Saldature senza piatto di sostegno
1) Giunti trasversali in piatti e lamiere
2) Giunti di anime e piattabande in travi
composte eseguiti prima dell'assemblaggio
3) Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
4)
Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore con
pendenza non mag-giore di 1:4. Nelle
zone di transi-zione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,2","Saldature effettuate da entrambi i lati, molate in|
direzione degli sforzi e sottoposte a controlli non
distruttivi
Le saldature devono essere iniziate e terminate su
tacchi d'estremità, da rimuovere una voltal
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
3) Vale solo per profilati tagliati e risaldati",assets/details/ntc-129-t02-d01-02.png,extracted_not_engineering_validated
ntc-129-t02-d01-03,ntc,129,C4.2.XIV,3,112,"Saldature senza piatto di sostegno
1) Giunti trasversali in piatti e lamiere
2) Giunti di anime e piattabande in travi
composte eseguiti prima dell'assemblaggio
3) Giunti trasversali completi di profili laminati,
in assenza di lunette di scarico
4)
Giunti trasversali di lamiere e piatti con
rastremazioni in larghezza e spessore con
pendenza non mag-giore di 1:4. Nelle
zone di transi-zione gli intagli nelle
saldature devono essere eliminati
Per spessori t>25 mm, si deve adot-tare una
classe ridotta del coefficiente
k = (25/t)0,2","Saldature effettuate da entrambi i lati, molate in|
direzione degli sforzi e sottoposte a controlli non
distruttivi
Le saldature devono essere iniziate e terminate su
tacchi d'estremità, da rimuovere una voltal
completata la saldatura
I bordi esterni delle saldature devono essere
molati in direzione degli sforzi
3) Vale solo per profilati tagliati e risaldati",assets/details/ntc-129-t02-d01-03.png,extracted_not_engineering_validated
